index,sourcetype,count,"latest_time"
"add_on_builder_index","splunk:tabuilder:validation",21,"12-05-2024 07:23:04"
"attack_data",XmlWinEventLog,31855,"07-11-2025 15:38:08"
"attack_data","aws:cloudwatchlogs:vpcflow",363666,"14-11-2025 09:36:11"
"attack_data","crowdstrike:events:sensor",5,"07-11-2025 15:38:08"
"attack_data","nginx:plus:access",85,"11-11-2025 12:28:50"
"attack_data","o365:management:activity",10164,"17-12-2020 07:28:31"
"f5_bigip","f5:bigip:asm:syslog",17,"19-03-2025 17:40:05"
gitlab,"gitlab:events",70,"14-11-2025 11:52:39"
gitlab,"gitlab:project:events",2,"14-11-2025 11:31:38"
gitlab,"gitlab:push:events",38,"14-11-2025 11:52:39"
lastchanceindex,XmlWinEventLog,15926,"23-10-2025 10:33:40"
lastchanceindex,"crowdstrike:events:sensor",2,"23-10-2025 10:33:40"
linux,"Linux:SELinuxConfig",2259,"18-11-2025 16:48:56"
linux,"Unix:ListeningPorts",24573,"18-11-2025 16:48:56"
linux,"Unix:SSHDConfig",2259,"18-11-2025 16:48:56"
linux,"Unix:Service",375205,"18-11-2025 16:48:56"
linux,"Unix:Update",276,"18-11-2025 16:48:56"
linux,"Unix:Uptime",149,"18-11-2025 16:48:56"
linux,"Unix:UserAccounts",93482,"18-11-2025 16:48:56"
linux,"Unix:Version",149,"18-11-2025 16:48:57"
linux,bandwidth,26605,"18-11-2025 16:48:57"
linux,"bash_history",82779,"17-11-2025 21:56:59"
linux,cpu,26606,"18-11-2025 16:48:56"
linux,df,26606,"18-11-2025 16:48:56"
linux,hardware,26,"28-08-2025 23:51:34"
linux,interfaces,26606,"18-11-2025 16:48:56"
linux,iostat,26606,"18-11-2025 16:48:57"
linux,lastlog,26606,"18-11-2025 16:48:56"
linux,"linux_messages_syslog",9041769,"18-11-2025 16:49:11"
linux,"linux_secure",680770,"18-11-2025 16:49:01"
linux,lsof,13322,"18-11-2025 16:49:02"
linux,netstat,26606,"18-11-2025 16:48:56"
linux,openPorts,26606,"18-11-2025 16:48:56"
linux,package,2259,"18-11-2025 16:48:58"
linux,protocol,26606,"18-11-2025 16:48:56"
linux,ps,132907,"18-11-2025 16:48:56"
linux,time,422,"18-11-2025 16:48:56"
linux,top,26605,"18-11-2025 16:48:56"
linux,usersWithLoginPrivs,2259,"18-11-2025 16:48:56"
linux,vmstat,26606,"18-11-2025 16:49:02"
linux,who,14287,"18-11-2025 16:48:56"
notable,stash,25334,"14-11-2025 09:10:00"
ollama,"ollama:server",1157,"05-11-2025 11:34:34"
superheroes,"dc:json:heros",2,"16-08-2024 09:02:20"
villains,"dc:json:heros",1,"16-08-2024 09:02:20"
web,"access_combined",1050506,"11-04-2024 10:45:28"
