sourcetype,count,state
"Linux:SELinuxConfig",3,appended
"Unix:ListeningPorts",21,appended
"Unix:SSHDConfig",3,appended
"Unix:Service",501,appended
"Unix:Update",3,appended
"Unix:Uptime",3,appended
"Unix:UserAccounts",129,appended
"Unix:Version",3,appended
bandwidth,13,appended
cpu,13,appended
df,13,appended
interfaces,13,appended
iostat,13,appended
lastlog,13,appended
"linux_messages_syslog",4177,appended
"linux_secure",314,appended
lsof,7,appended
netstat,13,appended
openPorts,13,appended
package,3,appended
protocol,13,appended
ps,58,appended
time,3,appended
top,13,appended
usersWithLoginPrivs,3,appended
vmstat,13,appended
who,24,appended
"aws:cloudwatchlogs:vpcflow",242444,initial
"bash_history",14192,initial
"gitlab:events",16,initial
"gitlab:project:events",1,initial
"gitlab:push:events",8,initial
stash,102,initial
